CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,COMPANY_SUB_CATEGORY,DATE_OF_REGISTRATION,REGISTERED_STATE,AUTHORIZED_CAP,PAIDUP_CAPITAL,INDUSTRIAL_CLASS,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,REGISTERED_OFFICE_ADDRESS,REGISTRAR_OF_COMPANIES,EMAIL_ADDR,LATEST_YEAR_ANNUAL_RETURN,LATEST_YEAR_FINANCIAL_STATEMENT
U01400AN2014PTC000238,ANDAMAN COCONUT AND AGRI PRODUCTS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,18-12-2014,Andaman and Nicobar Islands,1000000,200000,`01400,Agriculture and Allied Activities,"Survey No. 594, Near Range Office, Bathubasti Port Blair Andaman Islands AN IN 744105",RoC-Chennai,gauthamjai06@yahoo.co.in,31-03-2017,31-03-2017
U01400AN2015PTC000250,ANDAMAN PRAGATI COCONUT PRODUCER COMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,02-03-2015,Andaman and Nicobar Islands,5000000,2675000,`01400,Agriculture and Allied Activities,"C-67, 1ST FLOOR, NO. 3, HOTEL PORT RESIDENCY BUILDING, CIARI ROAD, BATHU BASTI, GARACHARMA PO, PAHARGOAN PS PORT BLAIR Andaman Islands AN IN 744105",RoC-Chennai,subbiahandco@gmail.com,31-03-2016,31-03-2016
U01403AN2009PTC000121,DWEEPAM AGRI PRODUCER COMPANY LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,05-08-2009,Andaman and Nicobar Islands,1000000,1000000,`01403,Agriculture and Allied Activities,"HOUSE NO. 1, NEAR SANTOSHI MATA KA MANDIR PORT BLAIR Andaman Islands AN IN 744103",RoC-Chennai,primekoss@hotmail.com,NA,NA
U01403AN2013PTC000194,ADHITHI MILK AND AGRI PRODUCER COMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,03-05-2013,Andaman and Nicobar Islands,500000,490000,`01403,Agriculture and Allied Activities,PLOT NO. 1752 ROOM NO. 4 C-50 4 1ST FLOOR CIVILGURUDWARA LINE PORTBLAIR Nicobar Islands AN IN 744101,RoC-Chennai,subbiahandco@gmail.com,31-03-2015,31-03-2015
U02001AN1977PLC000005,ANDAMAN AND NICOBAR ISLANDS FOREST AND PLANTATION DEVELOPMENT CORPORATION LIMITED..,Active,Public,Company limited by Shares,Non-govt company,21-01-1977,Andaman and Nicobar Islands,60000000,35918000,`02001,Agriculture and Allied Activities,VANVIKAS BHAVAN P.O. HEDDO PORT BLAIR AN IN 744101,RoC-Chennai,babu.badat@gmail.com,31-03-2015,31-03-2015
U02001AN1984PTC000014,ANDAMAN WOOD WORKS PRIVATE LIMITED.,Active,Private,Company limited by Shares,Non-govt company,16-11-1984,Andaman and Nicobar Islands,1000000,371000,`02001,Agriculture and Allied Activities,xx xx AN IN 744101,RoC-Chennai,vaksusi@gmail.com,31-03-2017,31-03-2017
U02001AN1987PTC000023,ANDAMAN WOOD PRODUCES (INDIA) PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,16-04-1987,Andaman and Nicobar Islands,300000,205000,`02001,Agriculture and Allied Activities,MB 9/44 JUNGLI GHAT PORT BLAIR ANDAMAN NICOBAR AN IN 744103,RoC-Chennai,nirmalkaushik@hotmail.com,31-03-2009,31-03-2009
U05000AN2007PTC000090,BAY ISLAND FISHERIES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,23-10-2007,Andaman and Nicobar Islands,2000000,900000,`05000,Agriculture and Allied Activities,"M.B 15, M.G ROAD ABERDEEN BAZAR PORT BLAIR AN IN 744101",RoC-Chennai,babu.badat@gmail.com,31-03-2017,31-03-2017
U05000AN2008PTC000105,MADURAI MEENAKSHI FISHING COMPANY PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,12-12-2008,Andaman and Nicobar Islands,500000,100000,`05000,Agriculture and Allied Activities,"CH-43,PARANASALA RAMPUR RANGAT AN IN 744206",RoC-Chennai,ROC@VLP.CO.IN,31-03-2010,31-03-2010
U05000AN2014PTC000234,GATEWAY FISHING & LOGISTICS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,31-10-2014,Andaman and Nicobar Islands,100000,100000,`05000,Agriculture and Allied Activities,JN ROAD HADDO PORT BLAIR Andaman Islands AN IN 744102,RoC-Chennai,ROC@VLP.CO.IN,NA,NA
U05001AN1985PTC000015,ANDAMAN MARINE INDUSTRIES PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,06-04-1985,Andaman and Nicobar Islands,500000,40000,`05001,Agriculture and Allied Activities,Aberdeen Village Near Marine Dockyard AN IN 744104,RoC-Chennai,NA,NA,NA
U05001AN1988PTC000026,NOBTUN FISHERIES PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,11-02-1988,Andaman and Nicobar Islands,1000000,0,`05001,Agriculture and Allied Activities,Opp.Airport Lamba Line Port Blair AN IN 744103,RoC-Chennai,NA,NA,NA
U05001AN1988PTC000027,ANDAMAN AND NICOBAR FISH PROCESSING PROJECT PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,08-03-1988,Andaman and Nicobar Islands,500000,400000,`05001,Agriculture and Allied Activities,96 /3 Dhanikhari South Andamans Port Blair AN IN 744104,RoC-Chennai,NA,NA,NA
